Pos,Player,Team,Matches,Inn,Runs,Strike Rate,Fours,Sixes,Year
431,Jhye Richardson,Punjab,3,2,15,62.5,2,0,2021
432,Mandeep Singh,Punjab,1,1,15,107.14,2,0,2021
433,Murugan Ashwin,Punjab,3,2,15,62.5,1,0,2021
434,Virat Singh,Hyderabad,3,2,15,57.69,1,0,2021
435,Daniel Christian,Bangalore,9,7,14,58.33,1,0,2021
436,Jagadeesha Suchith,Hyderabad,2,1,14,233.33,2,1,2021
437,Rahul Chahar,Mumbai,11,5,14,93.33,1,0,2021
438,Kagiso Rabada,Delhi,15,3,13,216.67,2,0,2021
439,Mohammed Shami,Punjab,14,4,13,76.47,0,0,2021
440,Yuzvendra Chahal,Bangalore,15,2,10,37.04,0,0,2021
441,Ajinkya Rahane,Delhi,2,1,8,100,1,0,2021
442,Mustafizur Rahman,Rajasthan,14,5,8,57.14,0,1,2021
443,Sandeep Sharma,Hyderabad,7,2,8,114.29,1,0,2021
444,Siddarth Kaul,Hyderabad,8,2,8,100,1,0,2021
445,Sachin Baby,Bangalore,1,1,7,41.18,0,0,2021
446,Shreyas Gopal,Rajasthan,3,2,7,140,0,1,2021
447,Daniel Sams,Bangalore,2,2,6,100,0,0,2021
448,Fabian Allen,Punjab,4,3,6,50,0,0,2021
449,Avesh Khan,Delhi,16,1,5,166.67,1,0,2021
450,Shardul Thakur,Chennai,16,4,5,100,0,0,2021
451,Harbhajan Singh,Kolkata,3,2,4,100,0,0,2021
452,Nathan Coulter0Nile,Mumbai,5,2,4,80,0,0,2021
453,Tim Southee,Kolkata,3,1,3,60,0,0,2021
454,Arshdeep Singh,Punjab,12,2,2,66.67,0,0,2021
455,George Garton,Bangalore,5,3,2,50,0,0,2021
456,Kartik Tyagi,Rajasthan,4,2,2,50,0,0,2021
457,Navdeep Saini,Bangalore,2,1,2,50,0,0,2021
458,Tabraiz Shamsi,Rajasthan,1,1,2,50,0,0,2021
459,Tim Seifert,Kolkata,1,1,2,50,0,0,2021
460,Varun Chakravarthy,Kolkata,17,3,2,50,0,0,2021
461,Deepak Chahar,Chennai,15,2,1,100,0,0,2021
462,Khaleel Ahmed,Hyderabad,7,1,1,50,0,0,2021
463,Mujeeb Zadran,Hyderabad,1,1,1,100,0,0,2021
464,Ravi Bishnoi,Punjab,9,1,1,25,0,0,2021
465,Tim David,Bangalore,1,1,1,33.33,0,0,2021
466,Trent Boult,Mumbai,14,4,1,25,0,0,2021
467,Wanindu Hasaranga,Bangalore,2,2,1,50,0,0,2021
